index,pts,dts,duration,bytes,sha256,vcl
93,3100000000,3100000000,33333333,941,77d0dce8945a2cc180241bde992bc36abd2098bf4dbd34043961e90814ded904,6e10d6424cab76430c912f1cc8b517d37ee6dcb144fb9b1b5a725d18391c1fef
94,3133333333,3133333333,33333333,822,6e287d42f966fa50329b362b56d9e5f4c36b44dc808c5a3d2775e46efd5c53d9,fa99e1e622684474db74e9e48abaa50bd41d9636d07683a14cffc713cd5c308c
95,3166666666,3166666666,33333334,988,5673fbf1b328bca82ae33b5b7c2857da28d0ac9df64f35823b93178ac6fd46fd,01846aeafaf53753ab6d3690c6d4a4694b6b3120403734e6f25cdfeb17f5ad71
96,3200000000,3200000000,33333333,1010,796091c840993d5bffad04ce113f5f3e319911982ba46a11593ae7a6d9a12319,81cad0db243b2796d8fff9af776a97af8de69337b24847552390ec108bafbe2b
97,3233333333,3233333333,33333333,997,e21414e2a0e1b9996ad321e13d2296ec19ee0cba785bfad3e480de9e5a0fbbde,3df6cb26fb44cb397b6bdabf74736f52b912b1040434decf29ea6226758c02ce
98,3266666666,3266666666,33333334,950,e2c6160e1498d58d95f161ac1cc491562aa8cda4d0596c081d201cc037ed6c3c,e219c9d7df8a7e8bc7b7475b9eb319f33ea83b2fd9ddb3c9eaf42b06d959eaf1
99,3300000000,3300000000,33333333,1045,29fb1b894f8886081eedf9c6cc17a6f0e4f6c86b3fc1c0e4b50afd3b995651c9,cb194f5fac88cb4ff0e4e4e53956a996aadaca53ce97b67d8c87ac8977ca2502
100,3333333333,3333333333,33333333,930,6eb4ce9724a996067cd1c8745f9d6f2f7f5675c7835ecc51a3e87488f2f7e7d6,46a1c115145b69db224b0c58161c9abdd73116ab56a5a527035ad1469b5d4b52
101,3366666666,3366666666,33333334,925,008c8ababc3a206134d6b1ea7e113edcdf7c5d1f2d3aa4066a829b398c3b7ae6,3abdea716d260865f8192262f9f330b19b6144c6ae98a7e655488cf28cc6934b
102,3400000000,3400000000,33333333,857,c4b766babb6441af02d1d388c7d7cfe725aac8c69371f358ec99546df443f50d,3faaf163fe78205125d7bcd94e405bfb73c58c44d46dafe85e2b9dd7c7cf21c0
103,3433333333,3433333333,33333333,873,60d2a9224e48331f007d39656ba41e0e42d9ae12a24242dcc587391e5f378433,813fa730de2922c8337975dc1e1439f43930e6a5c88a2c1a44c1f27e9a445f6a
104,3466666666,3466666666,33333334,790,7ba5bc7384e46aba05a276f664196962ef831da60facb5f4928486b97a40d267,d4ae71016d4e6abc5765d9a17764d3a4f5ace76834146c6655088bb225c13235
105,3500000000,3500000000,33333333,794,2ac64d2b320b1f00aed9ebe6d26ea9e681130662174380e8ac81e0f8c67e98ce,70741e907ac45308f0b5e84356fdc4440ee8c52915d62677714a669b283603ae
